zinc_id,smiles
ZINC000164528615,S(=O)(=O)(NC(=O)[C@]1(NC(=O)[C@H]2N3C(=O)[C@H](C(C)(C)C)NC(=O)O[C@H]4[C@H](OC/C=C/C(F)(F)c5nc6c(nc5O[C@H](C2)C3)cccc6)CCC4)[C@H](C(F)F)C1)C1(C)CC1
ZINC000000592419,Clc1c(NC(=O)c2cc(OCC3CC3)c(OC(F)F)cc2)c(Cl)cnc1
ZINC000100004343,Clc1cc([C@@H](O)C[NH+](CCCC)CCCC)c-2c(/C(=C\c3ccc(Cl)cc3)/c3c-2ccc(Cl)c3)c1
ZINC000000897385,Clc1c(CO[C@@H](Cn2cncc2)c2c(Cl)cc(Cl)cc2)ccs1
ZINC000001543916,O=C(OC[C@H](OCn1c2N=C(N)NC(=O)c2nc1)CO)[C@@H](N)C(C)C
ZINC000003831404,O(C)c1cc2c([C@@H](O)[C@H]3[NH+]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1
ZINC000004655029,Brc1cc2c(nc(OC)c([C@H]([C@@](O)(CC[NH+](C)C)c3c4c(ccc3)cccc4)c3ccccc3)c2)cc1
ZINC000003915154,O=C(OCC(=O)[C@]12[C@]3(C)[C@H]([C@H]4[C@H]([C@@H](O)C3)[C@]3(C)C(=CC(=O)C=C3)CC4)C[C@H]1O[C@@H](C1CCCCC1)O2)C(C)C
ZINC000060392785,P(=O)(OC[C@@H]([NH+](CC(=O)[O-])CC(=O)[O-])CN(CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-])(OC1CCC(c2ccccc2)(c2ccccc2)CC1)[O-]
ZINC000003875334,O=C(OCC(=O)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@H](C(=O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1)C
ZINC000003875393,O(C)c1c(OC)cc2c([C@H]3[NH+](C[C@H](CC(C)C)C(=O)C3)CC2)c1
ZINC000026664090,O=C(N[C@H]([C@H](O)CN1[C@H](C(=O)NC(C)(C)C)C[C@H]2[C@H](C1)CCCC2)Cc1ccccc1)[C@@H](NC(=O)c1nc2c(cc1)cccc2)CC(=O)N
ZINC000000001370,Clc1cc2C(c3ccccc3)=NCc3n(-c2cc1)cnn3
ZINC000003830958,Ic1c(NC(=O)COC)c(I)c(C(=O)NC[C@H](O)CO)c(I)c1C(=O)N(C[C@@H](O)CO)C
ZINC000001531036,O=C([O-])CCCCCCCC(=O)[O-]
ZINC000008577218,O=C([O-])[C@@H](NC(=O)c1ccc(NCc2nc3C(=O)N=C(N)Nc3nc2)cc1)CCC(=O)[O-]
ZINC000101489663,O=C([O-])[C@H](NC(=O)C1CCC(C(C)C)CC1)Cc1ccccc1
ZINC000003833821,O=C(CO)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)C=C2)CC3)CC1
ZINC000100016058,S(=O)([O-])(=Nc1cc([C@@H](CC)C=2C(=O)O[C@](CCC)(CCc3ccccc3)CC=2[O-])ccc1)c1ncc(C(F)(F)F)cc1
ZINC000008466459,[NH2+]([C@@H](Cc1ccccc1)C)C
ZINC000169621220,O=C([O-])[C@@H]1[C@@H](O)C[C@]2(O)O[C@H]1C[C@@H](O[C@@H]1[C@@H](O)[C@@H]([NH3+])[C@H](O)[C@@H](C)O1)/C=C/C=C/C=C/C=C/C[C@@H](C)OC(=O)/C=C/[C@H]1O[C@@H]1C[C@H](O)C2
ZINC000000968233,O=C(c1ccccc1)c1ccccc1
ZINC000001843047,O=[N+]([O-])c1n(C[C@@H](O)C)c(C)nc1
ZINC000001690604,Oc1ccc(C[C@@H]([NH3+])C)cc1
ZINC000169289767,S(=O)(=O)([O-])c1c(N=Nc2c(C)cc(-c3cc(C)c(N=Nc4c([O-])c5c(N)cc(S(=O)(=O)[O-])cc5cc4S(=O)(=O)[O-])cc3)cc2)c([O-])c2c(N)cc(S(=O)(=O)[O-])cc2c1
ZINC000000003642,O=C([O-])C[C@@]1(CC)OCCc2c3c(c(CC)ccc3)[nH]c12
ZINC000003806063,FC(F)(F)COc1c(OCC[NH2+][C@@H](Cc2cc(C(=O)N)c3N(CCCO)CCc3c2)C)cccc1
ZINC000000968336,Oc1c([C@H](CC[NH+](C(C)C)C(C)C)c2ccccc2)cc(C)cc1
ZINC000003843378,O=C(OC)/C=C/C(=O)OC
ZINC000150339323,Ic1c(N(C(=O)C)C[C@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c(I)c1C(=O)NC[C@@H](O)CO
ZINC000169289388,O(C)[C@@H]1[C@H](O)/C(/C)=C/[C@@H](C)C(=O)C[C@@H]([C@@H](C[C@H]2C[C@@H](OC)[C@H](O)CC2)C)OC(=O)[C@H]2N(C(=O)C(=O)[C@@]3(O)[C@H](C)CC[C@H](O3)C[C@H](OC)/C(/C)=C/C=C/C=C/[C@@H](C)C[C@@H](C)C1=O)CCCC2
ZINC000003781664,[NH2+](CCC)[C@@H]1Cc2sc(N)nc2CC1
ZINC000000968326,O(CCc1ncc(CC)cc1)c1ccc(C[C@H]2C(=O)NC(=O)S2)cc1
ZINC000002525885,Oc1ccc([C@H](C[NH+](C)C)C2(O)CCCCC2)cc1
ZINC000001530977,[NH+](C/C=C/c1ccccc1)(Cc1c2c(ccc1)cccc2)C
ZINC000100024116,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
ZINC000004474603,O=C([O-])CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC
ZINC000256433948,O[C@]1(C#C)[C@@]2(CC)[C@@H]([C@H]3[C@H]([C@@H]4C(=CC(=[NH+][O-])CC4)CC3)CC2)CC1
ZINC000004217475,O([C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@]1(CO)[C@@H](O)[C@H](O)[C@@H](CO)O1
ZINC000254134439,O=C1[C@H](C(C)C)NC(=O)/C(=C/C)/NC(=O)[C@@H]2NC(=O)[C@@H](C(C)C)NC(=O)C[C@H](O1)C=CCCSSC2
ZINC000000518554,O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1ccc(O)cc1
ZINC000001542113,O=C(N)c1oc2c(c1)cc(N1CC[NH+](CCCCc3c4c([nH]c3)ccc(C#N)c4)CC1)cc2
ZINC000019364225,[NH3+]CCNCC[NH2+]CCN
ZINC000003800475,O=C([O-])COc1c2c(ccc1)C[C@@H]1[C@@H](CC[C@@H](O)CCCCC)[C@H](O)C[C@@H]1C2
ZINC000000643114,Clc1c(S(=O)(=O)N)cc(C(=O)NN2[C@H](C)Cc3c2cccc3)cc1
ZINC000003881640,O=C(O[C@@]1(C(=O)C)[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)C(=CC(=O)CC4)C=C3)CC2)CC1)C
ZINC000003798537,O=C(N[C@@H](CC(C)C)c1c(N2CCCCC2)cccc1)Cc1cc(OCC)c(C(=O)[O-])cc1
ZINC000001529323,O=C([O-])[C@@H](NC(=O)c1ccc(N(Cc2nc3c(N)nc(N)nc3nc2)C)cc1)CCC(=O)[O-]
ZINC000003925861,Fc1cc(-c2cnc(/C=C/[C@@H]3[C@@H]4[C@@H](C)OC(=O)[C@@H]4C[C@H]4[C@H]3CC[C@@H](NC(=O)OCC)C4)cc2)ccc1
ZINC000004978673,O=C([O-])CCCCCCCCCCCCCCCCC
ZINC000000968275,[NH+](C[C@H](CN1c2c(cccc2)CCc2c1cccc2)C)(C)C
ZINC000100037855,O=C(O[C@@H]1[C@@]2(O)[C@H](O)C(CO)=C[C@@H]3C(=O)[C@@]2([C@H](C)C[C@H]2C(C)(C)[C@@H]32)C=C1C)/C(=C\C)/C
ZINC000008551178,O([C@H]1[C@@H](O)[C@H](O[C@H]2[C@@H](O)[C@H]([NH2+]C)[C@@](O)(C)CO2)[C@H]([NH3+])C[C@@H]1[NH3+])[C@@H]1[C@H]([NH3+])CC[C@@H]([C@H]([NH2+]C)C)O1
ZINC000253476025,O=C(OC1C[C@@H]2[N+](C(C)C)(C)[C@H](C1)CC2)[C@H](CO)c1ccccc1
ZINC000011680067,O=C1C=C2[C@@H]([C@H]3C(=C)C[C@]4(CC)[C@](O)(C#C)CC[C@H]4[C@@H]3CC2)CC1
ZINC000000606383,Clc1c([C@H](OCc2c3c(c(Cl)ccc3)sc2)Cn2cncc2)ccc(Cl)c1
ZINC000003831006,ClCCN(N=O)C(=O)NC1CCCCC1
ZINC000011679756,O=C([O-])c1cc(-c2c(O)c(N=NC3C(=O)N(c4cc(C)c(C)cc4)N=C3C)ccc2)ccc1
ZINC000000896634,Clc1cc2C(c3ccccc3)=N[C@H](O)C(=O)N(C)c2cc1
ZINC000022448696,O=C(N[C@@H]1[C@H](O)Cc2c1cccc2)[C@@H](C[C@H](O)CN1[C@H](C(=O)NC(C)(C)C)CN(Cc2cnccc2)CC1)Cc1ccccc1
ZINC000000000509,C[NH+]1C[C@@H]2N(c3ncccc3Cc3c2cccc3)CC1
ZINC000004097304,F[C@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)CO)CC[C@H]3[C@@H]1CCC=1[C@]2(C)CCC(=O)C=1
ZINC000002008310,O=C1/C(=C\c2ccc(C)cc2)/[C@@H]2C(C)(C)[C@@]1(C)CC2
ZINC000012503099,C(=C/C[NH+]1CCCC1)(\c1ncccc1)/c1ccc(C)cc1
ZINC000000113398,O=C([O-])[C@H](C)c1ccc(CC(C)C)cc1
ZINC000100016084,O=C(OC1C[C@@H]2[N+]3([C@H](C1)CC2)CCCC3)C(O)(c1ccccc1)c1ccccc1
ZINC000000136138,O=C(c1c(O)cc(OC)cc1)c1ccccc1
ZINC000242437512,O([C@H]1[C@H](O)[C@@H](O[C@H]2[C@@H](O)[C@@H]([NH2+]C)[C@](O)(C)CO2)[C@@H]([NH3+])C[C@H]1[NH3+])[C@H]1[C@@H]([NH3+])CC[C@@H]([C@H]([NH2+]C)C)O1
ZINC000003823492,O(C)c1nc(N)nc2n([C@H]3[C@@H](O)[C@H](O)[C@@H](CO)O3)cnc12
ZINC000100017856,Clc1ccc(C2CCC(C3=C([O-])C(=O)c4c(C3=O)cccc4)CC2)cc1
ZINC000000114124,SC([C@H]([NH3+])C(=O)[O-])(C)C
ZINC000003830944,Ic1c(N(C(=O)C)C[C@@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c(I)c1C(=O)NC[C@H](O)CO
ZINC000000601305,Clc1c(S(=O)(=O)N)cc(C(=O)NN2[C@@H](C)Cc3c2cccc3)cc1
ZINC000000895103,O=C([O-])[C@@H]([NH3+])[C@H](O)C
ZINC000001533877,P(=O)([O-])([O-])C(P(=O)([O-])[O-])(O)CC[NH+](CCCCC)C
ZINC000000154964,O=C(Nc1c(C)cccc1C)[C@H]1[NH+](C)CCCC1
ZINC000001530922,P(=O)(OCN1C(=O)C(c2ccccc2)(c2ccccc2)NC1=O)([O-])[O-]
ZINC000000001655,Clc1c(Nc2c(C(=O)[O-])cccc2)c(Cl)ccc1C
ZINC000004392649,O=C(NC[C@H]1[C@H](c2c3c(OCC3)ccc2)C1)CC
ZINC000001530929,O=C1N(C)C(=O)NC(=O)[C@@]1([C@H](C#CCC)C)CC=C
ZINC000003831430,[NH3+][C@H](C)C12CC3CC(C1)CC(C2)C3
ZINC000000403011,O=C(N)c1c(O)ccc([C@H](O)C[NH2+][C@H](CCc2ccccc2)C)c1
ZINC000003784182,O=C([O-])c1cc2c(cc(-c3cc(c(OC)cc3)C34CC5CC(C3)CC(C4)C5)cc2)cc1
ZINC000001530706,O=C(C(C[C@H]([NH+](C)C)C)(c1ccccc1)c1ccccc1)CC
ZINC000003978005,O=C(N[C@@]1(C)C(=O)N2[C@@H](Cc3ccccc3)C(=O)N3[C@H]([C@]2(O)O1)CCC3)[C@H]1C[NH+](C)[C@H]2[C@@H](c3c4c([nH]cc4C2)ccc3)C1
ZINC000001530886,O=C([O-])c1c(-c2ccc(Cn3c(CCC)nc4c(C)cc(-c5n(C)c6c(n5)cccc6)cc34)cc2)cccc1
ZINC000111460375,S(=O)(=O)([O-])C[C@@]12C(=O)/C(=C\c3ccc(/C=C\4/C(=O)[C@@]5(CS(=O)(=O)[O-])C(C)(C)[C@H]/4CC5)cc3)/[C@H](C1(C)C)CC2
ZINC000095617678,Cl[C@@H]1[C@H](OC)C[C@H](/C=C(\C)/[C@@H]2[C@@H](C)[C@@H](O)CC(=O)[C@H](CC)/C=C(/C)\C[C@H](C)C[C@H](OC)[C@@H]3[C@@H](OC)C[C@@H](C)[C@](O)(C(=O)C(=O)N4[C@H](C(=O)O2)CCCC4)O3)CC1
ZINC000034051848,S(c1c(C)cc(C)cc1)c1c(N2CC[NH2+]CC2)cccc1
ZINC000004095696,S(C[C@H]([NH3+])C(=O)[O-])CCCC/C=C(\NC(=O)[C@@H]1C(C)(C)C1)/C(=O)[O-]
ZINC000000014864,Fc1c([C@](O)([C@@H](C)c2c(F)cncn2)Cn2ncnc2)ccc(F)c1
ZINC000001529425,O=C([O-])CCCCC[NH3+]
ZINC000150588351,O=C(OC)N[C@H](C(=O)N1[C@H](c2[nH]c(-c3cc4c(n5[C@H](c6ccccc6)Oc6c(-c5c4)ccc(-c4[nH]c([C@H]5N(C(=O)[C@@H](NC(=O)OC)C(C)C)CCC5)nc4)c6)cc3)cn2)CCC1)C(C)C
ZINC000016052277,O=C(N)C1C(=O)[C@@H](N(C)C)[C@@H]2[C@@H](O)[C@@H]3[C@@H](C)c4c(c(O)ccc4)C(=O)C3=C([O-])[C@]2(O)C1=O
